% Model:              g01-compact.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 16 2019, 21:21
% Dimension:          3
% Nodes:              6154
% Expressions:        1
% Description:        Surface
% x                       y                        z                        Color
-0.33156086638991616      -0.3742548348694048      -0.49999999999999994     0.398748455964121
-0.3427137152479201       -0.3640704730968546      -0.4731119345409911      0.4423995901415238
-0.35355339059327384      -0.35355339059327373     -0.4462238690819822      0.4747450921714988
-0.35355339059327384      -0.35355339059327373     -0.5                     0.42537803375259575
-0.3640704730968547       -0.34271371524792        -0.4731119345409911      0.4698245000167414
-0.3742548348694049       -0.3315608663899161      -0.49999999999999994     0.450350500987682
-0.3083594449928172       -0.3935917335053186      -0.44622386217677673     0.41443811228978084
-0.3315613332464908       -0.37425537043015095     -0.44622386562937943     0.4452614878912262
-0.320106428770731        -0.3840987819033652      -0.47311193108838834     0.41335481470392765
-0.28403226031069495      -0.41149175007289834     -0.5                     0.34207938281097966
-0.2963311044882875       -0.40272555979568975     -0.47311193108838834     0.3828317434588997
-0.3083591780835976       -0.3935914351896112      -0.5                     0.3710804891766489
-0.2323615524553012       -0.44272795832949696     -0.5                     0.28019766002736024
-0.24562730503128338      -0.4355080102857683      -0.47311192883451164     0.31715428283274616
-0.25866890984710894      -0.427890634483285       -0.4462238576690233      0.3477895390956789
-0.25866849831877514      -0.42788996789361017     -0.49999999999999994     0.31179785123433407
-0.2714744970063943       -0.41988283779540836     -0.47311192883451164     0.3503500660842382
-0.2840323792284825       -0.4114919288999573      -0.44622385992290003     0.3816904640284974
-0.17730222522314681      -0.4675075887873605      -0.49999999999999994     0.21376252445641772
-0.19134170458961244      -0.46193977105759304     -0.47311192949644754     0.24733127187509554
-0.20520639376183641      -0.4559499270306578      -0.4462238589928952      0.2756727860768642
-0.2052061805129632       -0.4559493920624662      -0.5                     0.24748222674131784
-0.21888384618732767      -0.44954405999661734     -0.4731119294964476      0.28330010637177006
-0.23236158309655552      -0.44272801436193593     -0.44622385833095923     0.312413107075156
-0.4547762912214774       -0.20779442952793023     -0.449834928927446       0.605246637194038
-0.4613941670971421       -0.19265363367643634     -0.47491746446372296     0.5918420085528968
-0.4675075887873606       -0.17730222522314676     -0.5                     0.5594342060109672
-0.4489202391401443       -0.22016043897656926     -0.47491746446372296     0.5746441550605331
-0.4559493920624662       -0.205206180512963       -0.5                     0.5465565200960052
-0.4427279583294971       -0.23236155245530102     -0.5                     0.531877599879625
-0.4712712959211865       -0.16704300536318625     -0.47449305435686406     0.6037925881782259
-0.4748093534531716       -0.15670379023297792     -0.4489861087137281      0.6315146464664569
-0.47736037098383977      -0.14875151212748547     -0.5                     0.5712711892836752
-0.4804972899860346       -0.13828360103814405     -0.47449305435686406     0.615778380812574
-0.4854701471398128       -0.11965764865871896     -0.5                     0.5816232526966252
-0.46549428680939514      -0.18252415990167592     -0.449410518820587       0.6193844242071418
-0.3840987819033653       -0.32010642877073087     -0.4731119310883882      0.49626854777865903
-0.3935917335053187       -0.3083594449928171      -0.44622386217677656     0.5270295649274611
-0.3935914351896113       -0.3083591780835974      -0.5                     0.47254787833815737
-0.4027255597956901       -0.296331104488287       -0.4731119310883883      0.5207102439272643
-0.41149175007289845      -0.28403226031069473     -0.5                     0.4937899324071624
-0.374255370430151        -0.3315613332464907      -0.4462238656293794      0.5021270441262641
-0.36407047294226763      -0.3427137154121404      -0.41933580017037064     0.5007765727467188
-0.374255366354344        -0.33156133784712566     -0.3924477312587591      0.5247219063366969
-0.38409878175897594      -0.32010642894398506     -0.41933579671776783     0.5278132930162791
-0.4198828377954086       -0.271474497006394       -0.47311192883451164     0.5404136033331448
-0.42789063448328524      -0.2586689098471086      -0.4462238576690233      0.573285778860393
-0.4278899678936102       -0.258668498318775       -0.5                     0.5136785662758584
-0.43550801028576847      -0.24562730503128305     -0.47311192883451164     0.5599652041772862
-0.4420659211251314       -0.23361875220065093     -0.44802939329823466     0.5901597000167602
-0.4114919288999576       -0.284032379228482       -0.4462238599228999      0.5511596444662704
-0.32010642894398517      -0.3840987817589759      -0.41933579671776794     0.4408234452461231
-0.33156133784712577      -0.37425536635434387     -0.39244773125875915     0.46541853404996086
-0.3427137154121405       -0.3640704729422675      -0.41933580017037064     0.4717135834353491
-0.35355339059327384      -0.35355339059327373     -0.3924477312587591      0.4959986193630056
-0.4199393266415423       -0.2713871071732186      -0.41862119715206536     0.5767787659398323
-0.40278722204845807      -0.2962472848052554      -0.418621199405942       0.5534278654346312
-0.4116101139893969       -0.283861082330135       -0.3910185366351074      0.5766781249913037
-0.3936558990959886       -0.3082775261139366      -0.3917331339469332      0.5517903548986798
-0.3934993368482429       -0.3084773442248119      -0.3404131430918186      0.5666673655020692
-0.40274284232551955      -0.2963076154194517      -0.365715839863463       0.572742529487634
-0.38405082835845034      -0.32016395992864055     -0.36643043717528884     0.5464194726043935
-0.2836916365693347       -0.4117269184066212      -0.3950368612585498      0.3978394707176804
-0.2961643834555053       -0.40284818228759633     -0.42063036171766327     0.40754590263301205
-0.27130067638440836      -0.4199951702024233      -0.4206303594637866      0.3734590045012943
-0.30819650376890556      -0.3937193353959429      -0.3937422962586545      0.43243354293030034
-0.4883204295707146       -0.10743909001789223     -0.47132303282885035     0.6286348934300212
-0.49086247062448896      -0.09515269272292148     -0.4426460656577007      0.65712233168813
-0.4918097442203015       -0.09012746953743143     -0.49999999999999994     0.588828287621196
-0.49391652538953174      -0.07775902485970403     -0.47132303282885035     0.6351767631685373
-0.49635403870354167      -0.06026830697549758     -0.49999999999999994     0.593643778827527
-0.49848366387649684      -0.03891062641828967     -0.4543664903233414      0.6581868746934871
-0.4975336661990643       -0.049600917315288096    -0.47718324516167065     0.6328974656776852
-0.49547173074612877      -0.0671398840588489      -0.44850627799052106     0.6585069694188591
-0.48381572148447405      -0.12618378518834272     -0.4458160871857144      0.645335080592119
-0.49962077215536604      -0.019470080402396617    -0.4771832451616707      0.6355965727675812
